mouse_identity,time_s,zscore_DA,behavior_active,distance_head_res__head_int,distance_head_res__hind_int,distance_head_int__hind_res,distance_hind_res__hind_int,angle_head_res__head_int_deg,angle_head_res__hind_int_deg,angle_head_int__hind_res_deg,velocity_resident,velocity_intruder,frame_idx,hmm_state,hmm_state_smoothed
n6,615.8,-0.3865463485554203,,16.150167736467562,10.666279617715842,11.888352220265354,6.550517529281135,127.8746143432674,134.88438686682127,124.36397314153628,1.6949043748962436,0.8071428895147358,4318,1,1
n6,615.9,0.0574527875865629,,16.137653256435915,10.686324052397548,11.994626262894997,6.674266264215231,129.1330191619968,134.52266825439972,125.83365244190028,1.8079476160203467,0.861067398179825,4319,1,1
n6,616.0,0.14356891523051,,16.096437107007905,10.63044732548456,12.10229872375098,6.7993142097073305,128.78930812065437,133.44256605220085,126.47462219286172,1.934927814941044,0.821981003442666,4320,1,1
n6,616.1,-0.0147793189144031,,16.016355958645256,10.514175956093908,12.160263166530946,6.865289044547302,127.78198862213992,131.33304554386223,127.64208845972672,2.060338705065312,0.7500918268400082,4321,1,1
n6,616.2,0.1503107541776646,,15.972603914028634,10.474221798383628,12.127575772816684,6.990510777495485,125.66783211113976,128.27620228309917,127.70367233213967,1.9651972736375325,0.8095438123789324,4322,1,1
n6,616.3,0.3274783632845293,,15.77973536618181,10.35363749289862,12.09491872266168,7.208865673319812,124.52421388384192,126.6777911490342,128.23827882818205,1.931254125992484,1.0910421817569835,4323,1,1
n6,616.4,0.3366050547379872,,15.509089418959231,10.239456176630528,12.042645352451348,7.400912617405693,128.46345446440023,130.7911786480003,131.92501062076298,1.98219544833666,1.6670457545917523,4324,1,1
n6,616.5,0.2154230475121389,,15.25288767055144,10.198611882903036,11.98055296372506,7.648808954788516,132.5099065283444,135.5432365090931,135.96056312341813,1.981463322501744,2.4154765996710874,4325,1,1
n6,616.6,-0.1477954556316112,,15.02529270220221,10.21643333600779,11.91897081892523,7.923027437968529,137.5103809850724,140.63678023590887,141.36322956215392,2.060521308170581,3.181259220967257,4326,2,2
n6,616.7,-0.0022382817682004,,14.863302141208418,10.25173050711842,11.907808486819516,8.186529855201728,141.84286940143534,145.22618738560806,146.6312870629619,2.2080627243125805,3.915981597897878,4327,2,2
n6,616.8,0.1645863505617497,,14.792713625620696,10.305348517783226,11.984811651057312,8.462434582181851,147.5809995194919,149.77700706127746,153.0674087143976,2.3257103998818227,4.528392772646706,4328,2,2
n6,616.9,0.1456057792684123,,14.774157829056978,10.357566037579527,12.078598120094682,8.692450849381887,153.84284677999085,154.293310635264,159.8408346435058,2.179853160776512,5.065821599974962,4329,2,2
n6,617.0,0.0587992218799829,,14.830666185583734,10.41173543005834,12.172107611867723,8.854109193629862,161.22508058354833,158.8298371342687,167.93510618937927,2.125397703668785,5.511070790569017,4330,2,2
n6,617.1,0.0723751940569997,,15.036111202088676,10.57129493950838,12.121133750696048,8.975096460482236,169.37170979506277,163.32360773982566,175.9111842203326,1.9222525450661587,5.836636880847165,4331,2,2
n6,617.2,-0.0635740745234413,,15.25393964713814,10.759949033410953,12.124771098139757,9.09784105490095,179.02192890852757,167.99077461397508,173.58134782534347,1.1750480934162548,5.932115134281789,4332,2,2
n6,617.3,-0.0409182958104932,,15.267298169130507,10.85706914133042,12.358161507137169,9.283609477846484,171.3112586088818,173.46346527111768,163.32003788593,0.5904610265924538,5.957066966071048,4333,2,2
n6,617.4,0.2825149246093413,,15.229604958013931,10.998684012657922,12.514294153906745,9.480924784265763,163.19037723621088,178.35644633362153,153.93580913148054,0.2474916399787428,5.954211590850106,4334,2,2
n6,617.5,0.4742808092328597,,15.158667332532756,11.129047559720476,12.59334420988744,9.636674527033868,157.93119149888858,178.74453741556582,145.99736322620913,0.3033451977256057,5.60398421972112,4335,2,2
n6,617.6,1.2002887986673447,,14.983514189760454,11.278034884158368,12.590767654742004,9.874900244130774,152.35323364491933,176.12667909340354,139.266694711362,0.3891240387021131,5.07405767499407,4336,2,2
n6,617.7,1.5603788521412187,,14.76822282559094,11.492271268560904,12.558851530394852,10.203114637706095,147.84444462902565,173.21649111912072,134.81580499231814,0.2075053776622184,4.355238392395349,4337,2,2
n6,617.8,1.6149787217628735,,14.652987227033307,11.870863222070636,12.520584913063336,10.589822001028743,140.21323851128636,166.4999867669578,128.44139497333288,0.5757677232274848,3.5343359658686264,4338,2,2
n6,617.9,1.517816351351801,,14.599821789310486,12.366562890567128,12.51449127849872,11.033824454304709,131.77539025574777,158.10704125904118,121.19568545722166,0.2369128189843063,2.726173293434808,4339,2,2
n6,618.0,1.3210895904108386,,14.441117846885597,12.763735048605936,12.41896291632982,11.448184979002283,127.58502764983037,153.16253905314662,117.6244246755009,0.6294376331071497,1.9675093148245493,4340,1,1
n6,618.1,0.801303883808869,,14.272552071562682,13.073824661634635,12.171632033189644,11.663005608669987,124.78372958892564,149.02331780504016,114.36154515193704,1.0188825827245367,1.3069834135872451,4341,1,1
n6,618.2,0.7897334178099236,,14.087923527587185,13.329340299787644,11.791056347020278,11.732882851037544,119.60721364637324,144.3733739501729,108.6287163518872,1.3107947187419948,0.4622813217417487,4342,1,1
n6,618.3,1.1341863232304774,,13.851478308437123,13.55886107915482,11.302903450274272,11.746845246346815,113.79760563701478,139.905445213334,102.05819898523998,1.4653813424006807,0.4538836832374678,4343,1,1
n6,618.4,1.0938771906869562,,13.598965769877625,13.754868998168416,10.709703999849651,11.6895494618298,108.25176233939628,135.47220613441817,95.76444670451622,1.5169674340542123,1.1696546501803218,4344,1,1
n6,618.5,0.669352677220228,,13.266432152431276,13.902297429145476,10.030062898691522,11.627667315060163,103.2598830437658,130.1131630656564,91.00526474013452,1.4920508941420771,1.630796871123895,4345,1,1
n6,618.6,0.5579542751126367,,12.88811366420648,14.077038055280658,9.367524327829877,11.65703400039446,97.19254226780976,122.95014294882029,86.09715481775646,1.32013788399683,1.7345391159737085,4346,1,1
n6,618.7,0.6248251577343361,,12.187792407138472,14.019711210506154,9.138625147186085,12.061793402049876,93.744090652207,117.79907031500863,84.93776468191231,0.8130993721041493,1.736408965412619,4347,1,1
n6,618.8,0.5461588602190104,,11.513789815914969,14.00114041699636,9.103092067036682,12.622337488407094,92.7194509278133,115.01688318767988,85.84217613247665,0.4714811438552613,1.987279848130725,4348,1,1
n6,618.9,0.1845866857115797,,10.98362836939156,14.047292570533106,8.854428369465259,13.013046548285564,90.46383065504736,110.65604690800848,87.09225691879851,0.2849332306550496,2.514583560681193,4349,1,1
n6,619.0,-0.1016836491500751,,10.34407025524214,13.877789669894735,8.544260529269497,13.204288310865431,90.53026661506172,108.77296819036528,89.25432793957862,1.2590030060162014,3.0130469849807486,4350,1,1
n6,619.1,0.175362048908264,,9.63806027225152,13.522162152519048,8.235024417213147,13.252108727740188,92.06383249105316,109.21840480146396,91.9243384938597,2.458452003286295,3.3611498102129804,4351,0,0
n6,619.2,0.4259043364603297,,8.890342774012417,13.00682317909074,7.892671056501961,13.147816159979817,94.84521996684234,110.34552346728606,95.69951694041362,3.7518389499590015,3.8410651130445728,4352,0,0
n6,619.3,0.4020110135262358,,8.100658497023003,12.34609648518864,7.460670933171916,12.85874220344204,98.24372802965289,112.19856145840282,99.1327690312375,4.621469374209114,4.367216191104209,4353,0,0
n6,619.4,0.3107928741916355,,7.398584431180099,11.678273944902797,7.019654222736179,12.502066692847915,102.56005123029438,114.81787805352732,102.44702260667572,5.065948465567508,4.879185171677103,4354,0,0
n6,619.5,0.1615945013769103,,6.74237704247724,11.061054057419046,6.504846026646441,12.105707602334231,107.67135780849644,117.66316763566437,105.06768850527736,5.2639709044472855,5.342967654081101,4355,0,0
