transition_idx,from_frame,to_frame,time_s,from_state,to_state,behavior_active,zscore_DA
3056,3055,3056,489.6,3,1,,-1.414189759778071
3067,3066,3067,490.7,1,3,,-0.7978251350922205
3079,3078,3079,491.9,3,1,,-0.1939806693211224
3085,3084,3085,492.5,1,2,,-0.5946107654616006
3095,3094,3095,493.5,2,1,,-0.8439183507713985
3107,3106,3107,494.7,1,3,,0.7436743217508188
3160,3159,3160,500.0,3,1,,-0.7417237078996949
3175,3174,3175,501.5,1,3,,0.0971920683812361
3184,3183,3184,502.4,3,1,,-0.8501983574315313
3191,3190,3191,503.1,1,2,,-0.0740816704154861
3198,3197,3198,503.8,2,1,,-1.1079436924418729
3201,3200,3201,504.1,1,0,,-1.5382401975935494
3204,3203,3204,504.4,0,1,,-1.0057020979741884
3215,3214,3215,505.5,1,0,,-0.0802910692766848
3250,3249,3250,509.0,0,2,,-0.0039365837659564
3266,3265,3266,510.6,2,1,,-0.2321100665753641
3276,3275,3276,511.6,1,3,,-0.9492199546756658
3288,3287,3288,512.8,3,1,,-0.6185442180520182
3298,3297,3298,513.8,1,2,,-0.2031641168989049
3301,3300,3301,514.1,2,0,,-0.0856106105992186
3311,3310,3311,515.1,0,3,,-0.9712964992526708
3315,3314,3315,515.5,3,0,,-0.4925865220516791
3321,3320,3321,516.1,0,1,,0.0327429585099809
3331,3330,3331,517.1,1,2,,-0.5432703926004138
3342,3341,3342,518.2,2,1,,-0.5502263088154783
3362,3361,3362,520.2,1,2,,-1.0779451035195782
3372,3371,3372,521.2,2,1,,-0.7226417650381068
3382,3381,3382,522.2,1,3,,-0.6244588744291623
3399,3398,3399,523.9,3,0,,0.1077365206110205
3419,3418,3419,525.9,0,3,,0.5584754637936136
3436,3435,3436,527.6,3,0,,0.3230160706191367
3481,3480,3481,532.1,0,2,,1.5430348468802866
3516,3515,3516,535.6,2,0,,1.5020332807867491
3554,3553,3554,539.4,0,1,,0.8842918103261715
3580,3579,3580,542.0,1,2,,-0.2830857159172494
3601,3600,3601,544.1,2,1,,-0.1000335813945408
3629,3628,3629,546.9,1,2,,-0.2541885807275951
3646,3645,3646,548.6,2,1,,1.5329956549684032
3654,3653,3654,549.4,1,0,,0.7470739564301779
3669,3668,3669,550.9,0,3,,0.8783857093151286
3707,3706,3707,554.7,3,0,,-0.2522256281869316
3714,3713,3714,555.4,0,2,,-0.05804358796866
3744,3743,3744,558.4,2,0,,0.3069556904288922
3753,3752,3753,559.3,0,3,,-0.1386219722363923
3758,3757,3758,559.8,3,0,,1.7716277316130136
3767,3766,3767,560.7,0,2,,2.1064509834955376
3834,3833,3834,567.4,2,0,,1.9044670974089604
