syllable,n,mean_DA,median_DA,std_DA,sem_DA
93,5,0.045845764918106525,0.15669352063582292,0.5693972360791029,0.25464218521467397
56,5,0.573504365394314,1.084004297479011,1.411570028517652,0.6312733077533573
51,5,0.5133593079313696,0.3873090762161251,0.6599298365198045,0.29512959496772123
70,5,0.05260365486195027,-0.1889071731064259,0.766797496850971,0.3429222655870904
54,4,0.528377952525988,0.1189595213392456,1.061653226604348,0.530826613302174
84,4,-0.2354344861096655,-0.14646214695570614,0.6674844719053379,0.33374223595266894
82,4,0.5452338763595239,0.24929545723435895,0.920729722776642,0.460364861388321
66,4,0.1696725671127844,0.37220305371549056,1.0040490191584222,0.5020245095792111
91,4,0.28776492951286986,0.3580600156867573,0.40322393716613925,0.20161196858306962
59,4,-0.13483010982173926,-0.1350226516342802,0.6897467210490484,0.3448733605245242
96,4,-0.22956304741933148,-0.28445067841370036,0.39658006941949314,0.19829003470974657
44,3,-0.2454061490904678,-0.5481511149885252,1.0054377621979855,0.5804897626584219
95,3,-0.13342979390611487,0.1623108911992759,0.7578661453454292,0.4375542230248876
52,3,0.29058240422256115,0.4994171666219886,0.5112753742134345,0.29518497493215307
74,3,0.5158743541176852,0.21610079309469732,1.0042207158794214,0.5797871006387827
48,3,0.1977304830777491,-0.021123473169257195,0.4144278570457427,0.2392700348250393
50,3,0.860988340495374,0.2404382656335406,1.1803621663263235,0.6814824144697528
80,2,-0.3439764189548597,-0.3439764189548597,0.6728796610986518,0.4757977712853626
76,2,-0.10781259833834711,-0.10781259833834711,1.57143013739825,1.1111689063152106
75,2,-0.06274395991270598,-0.06274395991270598,0.5293341154836009,0.37429574257183723
86,2,0.4495500396921915,0.4495500396921915,1.525215773208985,1.0784904160087565
69,2,0.5282109550460959,0.5282109550460959,0.7099607954565512,0.5020180928439227
65,2,-0.685738717178803,-0.685738717178803,0.06513148938271161,0.046054917811295004
92,2,0.2547597696444313,0.2547597696444313,0.8232266776420087,0.5821091662143363
60,2,1.0933721627007404,1.0933721627007404,0.9275206665116711,0.6558561529810689
58,2,0.5427813304055424,0.5427813304055424,0.9480534924911451,0.6703750534680782
79,1,0.1063409354008778,0.1063409354008778,,
83,1,0.3034188027653879,0.3034188027653879,,
89,1,0.2609358143752166,0.2609358143752166,,
57,1,0.28116447762164054,0.28116447762164054,,
97,1,2.044708374761762,2.044708374761762,,
