bout_phase,syllable,n,mean_DA,median_DA,std_DA,sem_DA
Short_Term-2,35,7,0.25895101053995034,-0.0828132035826893,0.5862845262786989,0.22159472200839284
Short_Term-2,36,3,-0.269678085878503,-0.35675543289260797,0.5311202561877197,0.306642422882043
Short_Term-2,37,4,-0.6601492421311986,-0.5642209476825939,0.8626602151937657,0.43133010759688284
Short_Term-2,38,3,-0.5408954571480153,-0.4340107204509967,0.8063370247043762,0.46553889827063355
Short_Term-2,39,1,-0.4932850837598441,-0.4932850837598441,,
Short_Term-2,40,4,-0.36313942956567835,-0.25687631016759754,1.2756725586392483,0.6378362793196242
Short_Term-2,41,2,-0.04390130657801822,-0.04390130657801822,0.6111774104288984,0.43216769142230776
Short_Term-2,42,1,-3.237846596919601,-3.237846596919601,,
Short_Term-2,44,2,0.16423332683293995,0.16423332683293995,1.0074637392475032,0.7123844418214652
Short_Term-2,45,1,-0.7538333124388875,-0.7538333124388875,,
Short_Term-2,46,1,-1.8515272271646863,-1.8515272271646863,,
Short_Term-2,47,3,-0.019904940453061126,0.051251173365618935,1.006734742572555,0.5812385746268133
Short_Term-2,49,2,0.5107389170412079,0.5107389170412079,1.0546384399755735,0.7457419926067296
Short_Term-2,50,1,2.2221882311561973,2.2221882311561973,,
Short_Term-2,51,1,-0.1928732140612805,-0.1928732140612805,,
Short_Term-2,53,1,0.2144362260171202,0.2144362260171202,,
Short_Term-2,54,2,0.9377963837127304,0.9377963837127304,1.6231512011443554,1.1477412212202633
Short_Term-2,55,3,0.0968907580581968,-0.5229682078662338,1.2360387289123769,0.7136272928663637
Short_Term-2,56,1,2.186918513966899,2.186918513966899,,
Short_Term-2,58,1,1.2131563838736208,1.2131563838736208,,
Short_Term-2,61,2,0.20179041421759716,0.20179041421759716,0.8113486671307375,0.5737101444348114
Short_Term-2,66,2,-0.47329298916953755,-0.47329298916953755,1.0631613690400812,0.751768613543815
Short_Term-2,67,2,0.11274148429089537,0.11274148429089537,0.29543130068706014,0.20890147609058216
Short_Term-2,68,1,-0.06597196995902967,-0.06597196995902967,,
Short_Term-2,70,1,-0.3155376534385811,-0.3155376534385811,,
Short_Term-2,71,2,-0.45391640911485487,-0.45391640911485487,0.18200912715183654,0.12869988804690818
Short_Term-2,72,1,0.0837481790166913,0.0837481790166913,,
Short_Term-2,73,2,0.3214415376460906,0.3214415376460906,0.37447566910359326,0.26479428501252045
Short_Term-2,74,2,0.6657611346291792,0.6657611346291792,1.3719045923715505,0.9700830404068895
Short_Term-2,78,3,0.016428104294128863,-0.0478697627158249,0.3537711810936761,0.20424988663596577
Short_Term-2,79,1,0.1063409354008778,0.1063409354008778,,
Short_Term-2,83,1,0.3034188027653879,0.3034188027653879,,
Short_Term-2,84,2,-0.14646214695570614,-0.14646214695570614,0.47664364340504856,0.3370379524611724
Short_Term-2,85,1,-0.1626936567035722,-0.1626936567035722,,
Short_Term-2,88,1,-0.07635676558300575,-0.07635676558300575,,
Short_Term-2,89,1,0.2609358143752166,0.2609358143752166,,
Short_Term-2,90,3,0.17391751979229317,-0.1431978982610645,0.6552948690796961,0.3783346690617432
Short_Term-2,91,2,0.013124431629734312,0.013124431629734312,0.3877639779813094,0.274190538330455
Short_Term-2,93,2,0.19606422559304082,0.19606422559304082,0.05567858491068719,0.03937070495721789
Short_Term-2,95,1,0.1623108911992759,0.1623108911992759,,
Novel-1,0,14,0.1713491899454718,0.20361661265114855,0.44830545095382995,0.11981467157803005
Novel-1,1,14,0.2001432626363337,0.34035851930961275,0.6117771475459337,0.16350432022676673
Novel-1,2,14,0.2926220493860806,0.3775480276371288,0.6864129106606126,0.18345156696787734
Novel-1,3,14,0.1878174536712029,0.23053981791620531,0.4247088973835498,0.11350822736598393
Novel-1,4,14,0.25172424756382744,0.1987111585017629,0.7683477948162568,0.20534958586326543
Novel-1,5,14,-0.06987423521710262,-0.13098794489553314,0.45038410545986785,0.1203702153628206
Novel-1,6,14,0.06878559499260477,0.16475756961119273,0.6325396104929448,0.16905332185914562
Novel-1,7,14,-0.03568598603112333,-0.007401343823885118,0.6127969144711785,0.16377686440166886
Novel-1,8,14,0.1383617419542789,0.07988943810762913,0.5607196720554013,0.14985863591825388
Novel-1,9,14,0.1829453939750337,0.25971412025876417,0.6946132049700884,0.1856431878090752
Novel-1,10,14,0.026918144618431356,0.05880050580440514,0.5450225730059087,0.14566340973186415
Novel-1,11,13,-0.03578339859015734,0.04803792037587898,0.582617104366721,0.16158891105819748
Novel-1,12,14,0.2061522518570971,0.32528189626484494,0.6625850655226413,0.1770833074842062
Novel-1,13,14,-0.012482038922827185,0.13377581767144095,0.8512938920324148,0.2275178628170445
Novel-1,14,13,0.12553903557167526,0.18959796300787596,0.8064751957142655,0.22367597465674158
Novel-1,15,13,0.453001677888612,0.24083642601414476,0.8024098076547579,0.2225484388795713
Novel-1,16,14,0.17654660029501626,0.011748160223580422,1.1642823336403436,0.3111675424254139
Novel-1,17,14,-0.0497460777545306,0.20383677547482604,0.9779898555652452,0.26137878337611997
Novel-1,18,14,-0.0871124310825858,-0.20343090385135917,0.6282009988138119,0.16789377911360479
Novel-1,19,11,0.15318047194377568,0.26922457340612754,0.8542572532063766,0.25756825302956166
Novel-1,20,14,-0.1661461337670044,-0.18572258698127048,0.678403081757783,0.18131085014780104
Novel-1,21,11,0.40291601669556215,0.5644244286142798,0.9162400411442055,0.2762567667613749
Novel-1,22,13,-0.29184967266979245,-0.06937516883004045,1.1609507514733521,0.32198980482504785
Novel-1,23,14,-0.24614950295732788,-0.09475764173927889,0.6863981567816438,0.18344762382786112
Novel-1,24,14,0.3056246686326924,0.3129411295349438,0.7311166117620296,0.19539913364232384
Novel-1,25,11,0.31427357828136576,0.6679189132295138,0.8208331693784962,0.24749051257333757
Novel-1,26,11,0.3931553759269066,0.4654983147098086,0.9310074604107385,0.2807093112003708
Novel-1,27,13,0.04413858410131688,-0.09981391235527841,0.5956628625886433,0.1652071533810011
Novel-1,28,8,0.05757825412361905,0.1235489641762074,0.9090844211813094,0.32140987944417565
Novel-1,29,10,0.2627575839591485,0.5052709802291212,0.9350763557844318,0.2956971070448768
Novel-1,30,14,-0.1155140850957922,0.04389172891098174,0.7765293591718679,0.20753620091373248
Novel-1,31,9,0.39771880934911236,0.7230720559331175,0.6282277382111461,0.20940924607038203
Novel-1,32,9,-0.20531430774672535,0.0211667962119899,0.8023193489133923,0.26743978297113075
Novel-1,33,4,0.4347382504994853,0.3063912138075176,0.5414605577004823,0.27073027885024115
Novel-1,34,7,0.08787191180443167,-0.1476266235565586,0.7073373454090146,0.26734838699726393
Novel-1,35,7,-0.03430481727201383,0.06951097289117095,1.1806289493695088,0.446235798667884
Novel-1,36,3,-0.7590267918917076,-0.5834849703653884,0.862231294396598,0.4978094699235953
Novel-1,37,5,0.008164781410157617,-0.5082190000095828,0.9236897581029039,0.413086617847686
Novel-1,38,8,-0.24810527967465365,-0.3130354414964387,0.7211071265219652,0.2549498695628136
Novel-1,39,4,-0.26180691055358335,0.019086889493281786,0.8800331547493282,0.4400165773746641
Novel-1,40,5,-0.30804556105341807,-0.5950722046763214,0.8518450840560289,0.38095670284966054
Novel-1,41,3,0.388710289312475,0.2116705671578088,0.669414995684932,0.38648692795826767
