mouse_identity,time_s,zscore_DA,behavior_active,distance_head_res__head_int,distance_head_res__hind_int,distance_head_int__hind_res,distance_hind_res__hind_int,angle_head_res__head_int_deg,angle_head_res__hind_int_deg,angle_head_int__hind_res_deg,velocity_resident,velocity_intruder,hmm_state,hmm_state_smoothed
n5,1311.3,1.6317155925453015,,1.088707817624723,6.915644928718325,2.8596027920040274,6.656181257503606,45.11376208320027,58.36311764811802,52.90902663202513,0.0863043879909324,0.9937585425513606,3,3
n5,1311.4,1.818982431055898,,0.9809861136848046,6.816583302299266,2.629990861309407,6.611148650432179,39.45523888415505,57.76438627969733,47.79101418117915,0.0303500793521695,1.1591879318687508,3,3
n5,1311.5,1.9792191231536669,,0.6048663507121831,6.653875709812743,2.6402907761007928,6.498670561348392,31.68108304298346,54.53670184302541,41.04892659951895,0.037297515581392,1.3900101076872964,2,2
n5,1311.6,1.806924556237658,,0.4993995167583367,6.474491596913902,2.369176644697112,6.391190237778691,26.57510010703584,52.79019030882094,37.91698764915026,0.1418222732014635,1.338687849660924,2,2
n5,1311.7,1.4687084653639546,,0.3873754534075291,6.244006469691108,1.760204338752259,6.313006223865092,13.189096819773056,42.9673543202191,35.01897011896594,0.2362718178023175,0.9100399345078596,2,2
n5,1311.8,1.1202477143703582,,0.521776816505048,6.078831315229756,1.2285687066029007,6.298973649170866,6.8142997519794335,25.509038159884938,33.98335672272708,0.2069618258773573,0.5276001751568108,2,2
n5,1311.9,0.8247470766973868,,0.7328551722211883,5.9709179790960345,0.7748648007003808,6.356340498308447,36.18640478850526,1.8803173177766723,36.70636506821759,0.2452966366367628,0.2967268455922017,2,2
n5,1312.0,0.6655053955072655,,0.9632555660853456,5.904144621830143,0.4660866037499078,6.41017891917853,66.8258384267417,30.73696451975573,46.6352343501859,0.2902204740312017,0.1954201808698317,3,3
n5,1312.1,0.4459365515681027,,1.1783125899877316,5.870147775739891,0.2848392282416869,6.488170094148996,87.73511530699766,50.91775492030331,113.16742297647448,0.3133188677443956,0.3834919862811796,3,3
n5,1312.2,0.3163422644859794,,1.3686270829886122,5.871101592354564,0.2405221480391988,6.559186117504997,98.00535893405684,61.238579234277154,170.4091450564256,0.3320098656511344,0.6680304783911842,3,3
n5,1312.3,0.1814154663199368,,1.528364438875078,5.903335430080865,0.3224033859479952,6.618351393612662,104.33137353582865,67.89649450476479,178.53968646803833,0.2987074703996921,0.8932244749171555,3,3
n5,1312.4,0.0006065278915367,,1.663935467132559,5.965784381785556,0.5070601699413718,6.660394703335987,106.17694849805208,71.12339288220718,172.99855847269544,0.1609502002150233,1.110010826782773,3,3
n5,1312.5,-0.0829723118646691,,1.769975653878658,6.071560829687361,0.7886059361891599,6.684082492594689,103.64135496609028,70.29759356061733,168.58210584482862,0.1194281301881318,1.328017285053753,3,3
n5,1312.6,-0.0966530904148394,,1.875152421345352,6.2153144058689405,1.2034830765459057,6.695354922432099,100.1103170762573,68.8579585740378,163.78597982032602,0.0529467331980002,1.091785878293931,3,3
n5,1312.7,-0.04863172096679,,1.7268688401398795,6.342553074006238,1.4806703072499092,6.663816838847069,85.97867086784713,58.60187845472329,143.68221627544426,0.1586104226406189,1.012380287187702,3,3
n5,1312.8,0.0291702022360014,,1.4916941576072802,6.487632813588647,1.7745197416427294,6.645221578121772,63.64640375701023,43.38794351109624,32.09372929636885,0.1800880602786554,1.0566842690562337,3,3
n5,1312.9,0.1076413493675836,,1.1894916192800131,6.663177763484708,2.063598674059425,6.598480780209015,46.1066470501986,29.37917467042962,34.609163547206634,0.1523572919999518,0.9745734447230276,2,2
n5,1313.0,0.182541419350298,,0.8485237983179786,6.876687119527484,2.323568631248637,6.570101900526172,27.572752834002245,14.103026604535245,38.25788499496531,0.1188928690050606,0.9155600274970294,2,2
n5,1313.1,0.2362110829844256,,0.7159905333270475,7.098714299280988,2.811404338800446,6.515305089606056,5.3446028060510855,3.869620131060088,42.32081906133124,0.0296869002902406,0.8568362012831037,2,2
n5,1313.2,0.1914689627998466,,0.5493537102263268,7.224368948029002,3.303088540517813,6.524505931430746,15.74597123930934,20.855786238398224,49.028176366846935,0.0808851649392312,0.7942916624147703,2,2
n5,1313.3,0.0172608314492105,,0.554422051877597,7.528992681702127,3.7250529583031535,6.59410077985608,28.30498140903353,28.890951916806102,52.87723897339963,0.2961640427595255,0.8437553061081791,2,2
n5,1313.4,-0.0515488138005773,,0.6848609481039508,7.800741048151094,4.198434887657288,6.718555884772776,34.397434632039364,30.112033096491302,57.81359966998585,0.210560416179094,0.8691651119491581,2,2
n5,1313.5,-0.0148950660520816,,0.5566045333632146,7.792647181823687,4.655397276429731,6.876663907681566,43.65570007032736,37.15999071705852,62.05956356867847,0.3928693887827573,0.9094790074027912,3,3
n5,1313.6,0.0094938237543426,,0.5204539386975341,7.774533456317508,5.048019283905355,7.031551994222135,54.65453562187545,47.582927018950045,65.44485206907524,0.4634424718329342,0.5712072667672142,3,3
n5,1313.7,0.0555307131572205,,0.476435351243864,7.652209082692306,5.156960301964091,7.099400372026433,58.33817743033018,55.32183886265531,63.155778493921474,0.5936911484138028,0.4514299283370048,3,3
n5,1313.8,0.0854040514413659,,0.4625818826187751,7.473308750284437,5.3187399179264885,7.106034413491725,63.18577064298066,60.84444196909138,63.65919013122294,0.7067596350462135,0.8178896180447927,3,3
n5,1313.9,-0.0757765473855014,,0.4413735013976842,7.222408167655211,5.380747436880567,7.068281339066532,66.20753467404774,65.08148765753862,63.33693467342867,0.811540747906946,1.2448379429273655,3,3
n5,1314.0,-0.2585495800141498,,0.5756074924892499,6.956457718035156,5.019644442178553,7.044643515667615,72.64925822433707,72.10301637481689,66.62698088785172,0.8834924891982197,1.932076149086728,3,3
n5,1314.1,-0.3692382137070512,,0.7335389937927864,6.6629715820136175,4.718591009708951,7.0300109877953,75.75365427703889,78.04042471235073,66.99299671387023,0.9673182004934484,2.268335740697769,3,3
n5,1314.2,-0.3564230875261596,,1.005636507662897,6.464785099518162,4.723154907925469,7.069478016679385,77.53749772010929,82.1717860367259,66.94342229099654,1.0641452016269035,2.4062974777322665,3,3
n5,1314.3,-0.1852723295950789,,1.261674446206462,6.250440001485008,4.804290136960061,7.13754938487932,78.4668655141927,86.09547827277396,66.61150483760063,1.1188681326680774,2.373471406268681,3,3
n5,1314.4,-0.0355575651536005,,1.5362736568766624,6.053104513485216,4.947113306223357,7.1625384754368735,78.74391340464786,89.32927851756244,65.14756801814245,1.0074435872242362,2.376186082318981,3,3
n5,1314.5,-0.115380999189076,,1.841653703141284,5.894409579525038,5.141022670194695,7.194207078143425,77.4595574238491,90.64090587925784,63.123833322440845,0.8060457318145569,2.352967888588273,3,3
n5,1314.6,-0.271753092095874,,2.195224475511462,5.794714651588136,5.344770161698639,7.194926810062479,73.81248374432016,89.99043145413293,59.04289168701516,0.5630689896984278,2.2600563539745826,3,3
n5,1314.7,-0.3080660566501256,,2.585296545474536,5.763150437734312,5.541425290121112,7.180970082889851,68.07144008293255,87.3090007590805,53.26190917098333,0.3985017011720194,2.1672865798144474,3,3
n5,1314.8,-0.3125513744721788,,3.01471936155326,5.79800147684808,5.722745554514836,7.152042469243392,60.80090466344191,83.1729547247503,45.73362648314702,0.4816332236462018,2.046077263025011,3,3
n5,1314.9,-0.3058403790947941,,3.4570516173976693,5.891119600457729,5.895444757471657,7.131471857558462,50.92570637928756,77.10459479683249,35.7975671777985,0.4674384421448444,1.909181805912778,3,3
n5,1315.0,-0.4123555045211612,,3.900202649063128,6.019677816758501,6.015300306136754,7.077609479351961,39.31406449319786,70.03764429319182,23.872186518699834,0.4127183590104195,1.8257644547842744,3,3
n5,1315.1,-0.4970724062549022,,4.2558407792711215,6.358283731976152,6.027920488578054,7.248752029601708,21.74868425044141,63.4161215396183,8.536224691666519,0.8289465967751445,1.5330990168900702,2,2
