transition_idx,time_s,from_state,to_state,behavior_active,zscore_DA
5819,766.0,0,3,,0.004613275006866
5857,769.8,3,0,,0.1627365713394461
5866,770.7,0,3,,-0.4068069283798132
5892,773.3,3,2,,-0.2891325569533184
5900,774.1,2,3,,-0.2749100335281542
5908,774.9,3,0,,-0.0205472199600512
5934,777.5,0,3,,-0.3722816068492864
5953,779.4,3,2,,0.4907171522671363
5987,782.8,2,3,,-0.3192962446593435
5991,783.2,3,2,,-0.5256831054090166
6005,784.6,2,3,,-0.311408885917642
6010,852.6,3,0,,0.3075598905054071
6078,859.4,0,1,,0.3286214282984768
6088,860.4,1,3,,-0.0628240845603339
6101,861.7,3,2,,-0.5981744428914068
6115,863.1,2,3,,-0.4290098246446953
6131,864.7,3,2,,-0.4484056317240213
6152,866.8,2,3,,-0.0265208459804423
6179,869.5,3,2,,-0.0438405418008383
6197,871.3,2,3,,0.2822817591433466
6228,874.4,3,2,,-0.7245653444778495
6239,875.5,2,3,,0.1498698600681639
6269,878.5,3,2,Investigation,0.3007350505050498
6305,882.1,2,3,,-0.3430322493559807
6314,883.0,3,0,,-0.1346740022785192
6317,883.3,0,3,,-0.4181393698475953
6324,884.0,3,2,,-0.1909889781219309
6364,888.0,2,3,,2.6160814595519195
6377,889.3,3,2,,0.5111304746284177
6380,889.6,2,3,,0.3499123156304901
6384,890.0,3,0,,0.2066656664454952
6392,890.8,0,3,,-0.0241442985445558
6402,891.8,3,0,,-0.0061153163763799
6418,893.4,0,3,,-0.4030323626729389
6430,894.6,3,0,Aggression,1.0094110217548595
6439,895.5,0,3,Aggression,0.7174989878253669
6443,895.9,3,1,,0.5634448246939519
6448,896.4,1,2,,0.0521672740778833
6455,897.1,2,1,,0.3258982871283155
6461,897.7,1,0,,1.0607300274962357
6469,898.5,0,3,,0.0452240619285411
6478,899.4,3,2,,-0.1286256766385129
6502,901.8,2,3,,-0.2311346545119261
6517,903.3,3,2,,-0.3647318248206656
6534,905.0,2,3,,-0.0851996606808547
6543,905.9,3,2,,-0.2329080034916699
6569,908.5,2,3,,1.7894467491586052
6590,910.6,3,2,,1.3688791596519665
6598,911.4,2,1,,-0.1486514950523079
6616,913.2,1,3,,0.0777006735319133
6621,913.7,3,0,,0.2338152070463861
6632,914.8,0,3,,-0.4996572444096575
6642,915.8,3,0,,0.1764516998586388
6653,916.9,0,3,,-0.1620015057625641
6661,917.7,3,0,,0.1448143733638442
6687,920.3,0,3,,-0.0468836954328857
6696,921.2,3,2,,-0.3150127900282912
6702,921.8,2,3,,-0.2419302541562781
6727,924.3,3,1,,-0.0448019046758249
6741,925.7,1,2,,-0.2723636950555984
6754,927.0,2,1,,-0.5099819890832771
6768,928.4,1,2,,-0.5772641740515077
6776,929.2,2,3,,2.269056334192981
6807,932.3,3,0,,-0.085997216155469
6827,934.3,0,3,,-0.2634485338373752
6835,935.1,3,2,,-0.6982612978608561
6844,936.0,2,3,,-0.5509460805580509
6856,937.2,3,0,,-0.2638360481044917
6859,937.5,0,3,,-0.2590216589271636
6878,939.4,3,2,,0.0883493645683011
6892,940.8,2,3,,0.7301170224180791
6898,941.4,3,2,,0.0338399595887498
6929,944.5,2,3,,-0.5944643187749376
6933,944.9,3,0,,0.1206326698361879
